name,principal_name,email,website
Sir Parashurambhau College,"Avinash Moharil Principal, Koleker Ramdas Ph, Mahila Mahavidyalaya, Mahila Mahavidyalaya Amravati Apr, Miss Gauri Kulkerni Ph, Nale Jyoti, Nitin Mote Ph, Shubhangi Dev Ph, Valokar Deepak Ph, ess map, essionals equipped with knowledge, essor Mahila Mahavidyalaya, ile had been viewed, of Mahila Mahavidyalaya","addressprincipal@spcollegepune.ac.in, info@shahucollegepune.ac.in",https://www.spcollege.ac.in
Govt. College of Engineering Pune,"Ashish Vikhar Mr, DILIP RAMBHAU PANGAVHANE II, Dilip Rambhau Pangavhane, Extension Number, ILE OF PRINCIPAL BIO, ILE OF TEACHING STAFF, ess Avasari Khurd, ess Near EON IT, ess STD in Code, essor and Head of, essor of Automobile Engineering, the institute is designated","aaglave.saarika@gppune.ac.in, admin.mis@gcekarad.ac.in, admission@dpcoepune.edu.in, gayatri.karajagikar@gppune.ac.in, info@dpcoepune.edu.in, jyoti.dandale@gppune.ac.in, nilambari.devarkar@gppune.ac.in, principal.gcocara@dtemaharashtra.gov.in, principal@gcekarad.ac.in, principal@gppune.ac.in, registrar@gcoeara.ac.in, seema.kolhe@gppune.ac.in, swapnil.hatwalane@gppune.ac.in, tpo@gppune.ac.in",https://www.gcoep.ac.in
Visvesvaraya NIT Nagpur,ess of VNIT Visvesvaraya,deanacd@vnit.ac.in,https://www.vnit.ac.in
Govt. Medical College Nagpur,"Aarti Anand, Adesh More, Atul Rajkondawar, Bhushan Taywade, Devendra Mahore, Kavita Anand Dhabarde, Lokpriya Sakhare, Manish Bhawatkar, Manish Tiwari, Manjushri Waikar, Megha Tajane, Rajesh Balla, Sachin Sangode, Sandip Bhelkar, Sumedh Chaudhary, Surendra Patil, Uday Narlawar, Vaijayanti Nitin Gadre, Vijay Mobhiya, essional reasoning, essor Radiotherapy GMC Nagpur, essor and HOD, essor and Head",,https://www.gmcnagpur.com
Hislop College,"Allahad Chimote, Atul Bodkhe, ESS Temple Road, Prashant Shelke, Prashant Shelke Principal, Prashant Shelke is the, Rupali Talole, ile Co, ile Events Gallery, ile Vice Principal, owned in the vicinity","info@hislopcollege.ac.in, principal@hislopcollege.ac.in",https://www.hislopcollege.ac.in
Dr. Ambedkar College Nagpur,"Ambedkar Institute of Management, Amit Naik, Babasaheb Ambedkar Smarak Samiti, Dear Students, Gitanjali Mahamunkar, ate of Technical Education, essionals contributing significantly to, essor In, ika Yadav Date, of Dr","academicsection@dbatu.ac.in, affiliation@dbatu.ac.in, coe@dbatu.ac.in, em@dbatu.ac.in, fo@dbatu.ac.in, hamujawar@dbatu.ac.in, registrar@dbatu.ac.in, slnalbalwar@dbatu.ac.in, smpore@dbatu.ac.in",https://www.drambedkarcollege.ac.in
Walchand College of Engineering,"Arvind Yadav, Chinmay Desai, Dr Gnanasekaran Thangavel, Gomathy Chidambaram, Kalyan Singh Yadav, Key Functionaries at the, Kishor Kinage, Nikhil Kothari, Paventhan Rajangam, Pritesh Mankad, Shatrughna Pd YADAV, Surendra Rathod View Post, Veena Desai, Vijayakumar Thangavel, and Secretary, essionally competent",,https://www.walchandsangli.ac.in
Shivaji University College,"Ajay Kumar Singh, Commissioner of Income Tax, ESSOR Address DEPT, ESSOR DEPT, Internship Scheme Principal Internship, Panjabrao Deshmukh, Virender Bhardwaj, Virender Bhardwaj Principal, essional Courses","accountssection@shivaji.du.ac.in, adminsection@shivaji.du.ac.in, geography@shivaji.du.ac.in",https://www.unishivaji.ac.in
DY Patil College of Engineering,"Jai Ram Choudhary, Jai Ram Choudhary Mr, ess Dr, ess Near EON IT","_jobs@dypcoeakurdi.ac.in, admission@dypakurdipune.edu.in, admission@dypiu.ac.in, admissions@dypcoeakurdi.ac.in, helpdesk@dypiu.ac.in, info@dypcoeakurdi.ac.in, placements@dypcoeakurdi.ac.in, tpo@dypcoeakurdi.ac.in",https://www.dypvp.edu.in
Symbiosis Institute of Technology,"Amulya Prasad Panda Assistant, Babasaheb Ambedkar Museum, Bhavna Ambudkar, Mohmad Ausif Padder Assistant, Shshank Chaube Assistant Professor, ess Survey Number, ess Symbiosis Institute of, ess and Map Modallaguda, ess and Map Mouje, ess of the Society, ess of the organization, essional Member ACM USA","accounts@sithyd.siu.edu.in, adminofficer@sithyd.siu.edu.in, admissionphd@siu.edu.in, admissions@siu.edu.in, ausif.padder@sithyd.siu.edu.in, btechadmissions@sithyd.siu.edu.in, director@sithyd.siu.edu.in, director@sitnagpur.siu.edu.in, epic@sitpune.edu.in, info@sithyd.siu.edu.in, info@siu.edu.in, shshank.chaube@sithyd.siu.edu.in, sudhanshu.maurya@sitnagpur.siu.edu.in",https://www.sit.edu.in
FLAME University,"Dishan Kamdar is the, Kamdar handles these multifaceted, Kamdar is cited as, Kamdar specializes in teaching, ess is being protected, ession and within six, essor of Organisational Behaviour, essor of the Year, essor to all his, investment group with",enquiry@flame.edu.in,https://www.flame.edu.in
MIT College of Engineering Pune,"Bharat Chaudhari, Deepali Pankaj Javale, Exochos Static Technologies, Hitesh Joshi, Jyoti Mate, Kundlik Mali, Leadership and Governance, Prakash Mainkar, Pramod Kothmire on, Rahul Joshi, Sunil Karad Executive President, Surbhi Razdan, Vaishali Wangikar, ess Connect with Us, ive progress","admissions.mitsoe@mituniversity.edu.in, admissions@mitaoe.ac.in, admissions@mitwpu.edu.in, international.admissions@mitwpu.edu.in, outreach@mitwpu.edu.in",https://www.mitcoe.edu.in
Bharati Vidyapeeth College of Engg,"Abhijit Patil Member patilabhijeet, Desk Bharati Vidyapeeth was, Dharmender Saini PRINCIPAL, Dipak Bankar Member dsbankar, Kailasnath Sutar Professor kbsutar, Kavita Kulkarni Member kskulkarni, Kuldip Patil, Meena Chavan Member mschavan, Patangrao Ji Kadam on, Prakash Chavan Member pvchavan, Pramod Jadhav Member pajadhav, Pramod Londhe Associate Professor, Rajesh Ashok Kshirsagar Principal, Rajesh Jadhav Member rhjadhav, Sandip Vanjale Member sbvanjale, Shambala Shinde Associate Professor, Shivaji Jadhav Member sdjadhav, Venkatesh Kulkarni, Venkatesh Vaman Kulkarni Vice, Vidya Mrityunjaya Dodwad Vice, Vivek Saoji Vice Chancellor, ess of the Vice, ess the gap between, essal Mechanism has been, essal for Grievance of, essal mechanism for all, essor rslavate, essor sbwakurdekar, essor svdhole","dsbankar@bvucoep.edu.in, karade@bvucoep.edu.in, kbsutar@bvucoep.edu.in, kskulkarni@bvucoep.edu.in, mschavan@bvucoep.edu.in, pajadhav@bvucoep.edu.in, patilabhijeet@bharatividyapeeth.edu.in, principal@bvcoenm.edu.in, pvchavan@bvucoep.edu.in, pvlondhe@bvucoep.edu.in, rhjadhav@bvucoep.edu.in, rslavate@bvucoep.edu.in, rsprasad@bvducoep.edu.in, rsprasad@bvucoep.edu.in, sbvanjale@bvucoep.edu.in, sbwakurdekar@bvucoep.edu.in, scstcell@bvucoep.edu.in, sdjadhav@bvucoep.edu.in, snshinde@bvucoep.edu.in, sschavan@bvucoep.edu.in, svdhole@bvucoep.edu.in",https://www.bvcoem.edu.in
Somaiya Vidyavihar University,"Satyendra Kumar Upadhyay, op you at the",,https://www.somaiya.edu
NMIMS University Mumbai,"ESS SVKM, essional organizations",,https://www.nmims.edu
Kishinchand Chellaram College,"Hemlata Bagla, Kavita Lalchandani, Purnima Joshi, Sandhya Balakrishnan, essal Cell, essor Assistant Public Information","info@kclawhsnc.edu.in, office@kccollege.edu.in",https://www.kccollege.edu.in
Nowrosjee Wadia College,"Aftab Alam Controller of, Baba Dhdhbhate, Baisane Laxman Ph, Devasthali Hemant Ph, Gaikwad Shyamrao, Jadhav Jaiprakash Ph, Musharraf Husen, Pawar Yogesh Ph, Poonam Ponde View Course, Sanjida Abdul Khan View, Shinde Ravindra Ph, essal Cell Anti Ragging",mayurgohad@nowrosjeewadiacollege.edu.in,https://www.wadiacollege.edu.in
Dharampeth College Nagpur,"Abhay Mudgal, Akhilesh Peshwe, Dharampeth Polytechnic, Kapil Singhel, Manju Dubey Librarian, Manjushree Sardeshpande IQAC Co, Pitambar Humane Dr, Principal Dharampeth, Prlnclprl Dhlrtpdr, Rajendra Kakde, Sameer Kailas Kuduple, Shailesh Bahadure, Shraddha Deshpande The study, Student Welfare, Tanuja Nafde Principal, Ujwal Chakradeo, aja Bhatta NAAC Co, anath Tagore and Swami, eams that every committed, ess Total score MohitKhirdekar, essional by way of, op of diverse socio, rsmesn Website, to share this information","admin@rsmdacc.edu.in, principal@ramkrishnawaghcollege.edu.in",nan
Vidyanagari Arts Commerce College,"Bharat Namdeo Bhosale, Chandoji Sopan Gaikawad, Sudhir Ramachnadra Bhosale",,https://www.mu.ac.in
Christ University,"Anil Joseph Pinto, Basavaraj Donur, Battu Satyanarayana, Fr Abraham Vettiyankal Mani, Fr Joseph, Fr Viju, Johny Joseph, ess Christ, essional experience across India, of Poornodaya Training Centre","bmpmc.librarian@bldedu.ac.in, pskattimani@cuk.ac.in, registrar@cuk.ac.in, vc@cuk.ac.in",https://www.christuniversity.in
Bangalore University College,"Baba Gnanakumar, Bino Joseph cmshelpdesk, Dharmendra Kumar, Jonas Richard, Lingaraja Gandhi, Mahantha Gowda Principal Bapu, Manmohan Singh Bengaluru City, Marialal Joseph fr, Nalini RDesignation, Premanand Shetty Phone, Seshadripuram Institute of Commerce, Shri Anurag Behar, Shwetha PDesignation, Utkarsh Lokesh No, ess Dsignation Karnataka State, ess Kristu Jayanti, ile Link","admissions@alliance.edu.in, chancellor@alliance.edu.in, enquiry@alliance.edu.in, hrd@alliance.edu.in, info@bmscl.ac.in, oia@alliance.edu.in, placements@alliance.edu.in, principal@bmscl.ac.in, prochancellor@alliance.edu.in, registrar@alliance.edu.in, registrar@bcu.ac.in, registrar@bnu.ac.in, registrargeneral@alliance.edu.in, vc@alliance.edu.in, vc@bcu.ac.in, vc@bnu.ac.in",https://www.bangaloreuniversity.ac.in
Mount Carmel College,"George Lekha, Suma Joseph, ess of the Institution",admission@mccblr.edu.in,https://www.mountcarmelcollegeblr.ac.in
St. Joseph's College of Commerce,"Charles Lasrado, Joy Rodrigues, eam of, essional Programmes, essional Programmes General English","libinfo@sjcc.edu.in, obe@sjcc.edu.in, pathi@sjcc.edu.in, principal@sjcc.edu.in",https://www.sjcc.edu.in
RV College of Engineering,"Challa Narasimham, Justin Varghese, MP Shyam Rashtreeya Vidyalaya, Rajarajan Somasundaram, Srinivasan Andy, Sunil Bobade, aising Photo Gallery Faq, an Ruthramurthy PhD, iving Industry, oid App, orma Enquire Now Academics","principal@rvce.edu.in, subramanyakn@rvce.edu.in, viceprincipal@rvce.edu.in",https://www.rvce.edu.in
Mysore University Constituent College,"JC Rollo, Sarvepalli Radhakrishnan, essal Portal Prevention of, essors working in the","ajaykumar@ycm.uni-mysore.ac.in, principal@ycm.uni-mysore.ac.in",https://uni-mysore.ac.in
Manipal College of Arts,"Alumni Cell manipal, Arundhati Bag Associate Professor, Bina Pradhan, Centre for Doctoral Studies, Champa Sharma, NIKITA JOSHI SONOWAL PT, Nikita Joshi Sonowal Principal, Ramnarayan constantly examines how, Student Affairs manipal, TMA Pai Scholarships, ate of Research","admission.smims@smu.edu.in, admissionofficer@smcon.smu.edu.in, chairman.admission@smit.smu.edu.in, deepa.gurung@smu.edu.in, director.dor@smu.edu.in, principal.nursing@smu.edu.in, principal.physiotherapy@smims.smu.edu.in, prochancellor@smu.edu.in, uttamkumar.upadhyaya@smu.edu.in",https://www.manipal.edu
Govt. First Grade College Gulbarga,"Fr Victor Lobo, Investigator and has carried, Vijayaprakash Mob, essionalism across all its, essionals and socially responsible, iven by",ksoustudycentre@spcputtur.ac.in,nan
BMS College of Engineering,"Alpha Design Tech, BMSCE Dr, Bheemsha Vice Principal, CONVENER Dr, Debabrata Das Professor, Geetishree Mishra, KAVITHA SOODA, Leena Chandran Wadia Senior, RAJESWARI HEGDE, Rathan Raj, SUREKA NAAGESH, Suresh Ramaswwamy Reddy Vice, ess for Correspondence, ess of the Principal, ess of the Trust, essor and Head, essor of Electrical Engineering","basavarajugm.office@bmsce.ac.in, bharathi.mech@bmsce.ac.in, bhavanaht.ece@bmsce.ac.in, coe@bmsce.ac.in, dcoe@bmsce.ac.in, dean.academics@bmsce.ac.in, dean.fyb@bmsce.ac.in, dean.innovation@bmsce.ac.in, dean.studentaffairs@bmsce.ac.in, director.admin@bmsce.ac.in, drkjr.iem@bmsce.ac.in, geetishreemishra.ece@bmsce.ac.in, gurusaravana.mech@bmsce.ac.in, hod.chemical@bmsce.ac.in, hod.civ@bmsce.ac.in, hod.cse@bmsce.ac.in, hod.ece@bmsce.ac.in, hod.eee@bmsce.ac.in, hod.iem@bmsce.ac.in, hod.intn@bmsce.ac.in, hod.ise@bmsce.ac.in, hod.mech@bmsce.ac.in, hod.ml@bmsce.ac.in, hod.tce@bmsce.ac.in, indumathip.coe@bmsce.ac.in, laxmanhosakeri.lic@bmsce.ac.in, maheshwarik.coe@bmsce.ac.in, msd.chem@bmsce.ac.in, padminipv.office@bmsce.ac.in, poornima.coe@bmsce.ac.in, principal@bmsce.ac.in, purushothama.coe@bmsce.ac.in, raghu.civ@bmsce.ac.in, ranjithan.coe@bmsce.ac.in, ravi.mech@bmsce.ac.in, sanjanat.ece@bmsce.ac.in, saritha.cse@bmsce.ac.in, shilpa.coe@bmsce.ac.in, shruthij.coe@bmsce.ac.in, shubhapr.coe@bmsce.ac.in, shwethac.coe@bmsce.ac.in, viceprincipal.adm@bmsce.ac.in, viceprincipal@bmsce.ac.in, vidyahegde.coe@bmsce.ac.in",https://www.bmsce.ac.in
Govt. Science College Bengaluru,"Bheemsha Arya, Debabrata Das Professor, Jyothi Venkatesh, Leena Chandran Wadia Senior, Nominated by the Collegiate, Shamla Iqbal, Suresh Ramaswwamyreddy, as Road, egowda Dr, ess MSR Nagar, ess St Joseph, ess of the Principal, ession and Self, essionals in the field, essor in Organizational Behaviour, ile of the Principal, of Extension, of Research","principal@lcechennai.edu.in, principal@msrcasc.edu.in, pro@gcu.edu.in, prs-fd@karnataka.gov.in, registrar@uasbangalore.edu.in, secyhort-ah@karnataka.gov.in, vc@uasbangalore.edu.in",nan
Jyoti Nivas College,"Anantha Lakshmi Institute, Karuna Gokarn, Kiran Thampi, Roopa Philip, Srinivas Institute, ess For Communication Jyoti",,https://www.jyotinivascollege.edu.in
Indian Institute of Science,"Dipshikha Chakravortty Email, Govindan Rangarajan obtained an, Rangarajan has also served, Ranjini Raghunath, Subhojoy Gupta, admin dr, ahman mithunc roopalakshmi krakshith, aising and alumni outreach, essor at the Institute, of IISc","ascdean.ugacad@iisc.ac.in, chair.aero@iisc.ac.in, chair.bc@iisc.ac.in, chair.be@iisc.ac.in, chair.caos@iisc.ac.in, chair.cct@iisc.ac.in, chair.ceas@iisc.ac.in, chair.ces@iisc.ac.in, chair.chep@iisc.ac.in, chair.cps@iisc.ac.in, chair.dm@iisc.ac.in, chair.ece@iisc.ac.in, chair.ee@iisc.ac.in, chair.ese@iisc.ac.in, chair.iap@iisc.ac.in, chair.icer@iisc.ac.in, chair.ipc@iisc.ac.in, chair.math@iisc.ac.in, chair.mgmt@iisc.ac.in, chair.mrc@iisc.ac.in, chair.phy@iisc.ac.in, convener.imi@iisc.ac.in, convenor.kiac@iisc.ac.in, dean.sci@iisc.ac.in, dean.ug@iisc.ac.in, directory.ooc@iisc.ac.in, office.aero@iisc.ac.in, office.bc@iisc.ac.in, office.be@iisc.ac.in, office.caos@iisc.ac.in, office.cct@iisc.ac.in, office.ceas@iisc.ac.in, office.ces@iisc.ac.in, office.chep@iisc.ac.in, office.cps@iisc.ac.in, office.director@iisc.ac.in, office.dm@iisc.ac.in, office.ece@iisc.ac.in, office.ee@iisc.ac.in, office.ese@iisc.ac.in, office.iap@iisc.ac.in, office.icer@iisc.ac.in, office.imi@iisc.ac.in, office.ipc@iisc.ac.in, office.kiac@iisc.ac.in, office.math@iisc.ac.in, office.mgmt@iisc.ac.in, office.mrc@iisc.ac.in, office.ooc@iisc.ac.in, office.phy@iisc.ac.in, office.ugdean@iisc.ac.in, registrar@iisc.ac.in, x@iisc.ac.in",https://www.iisc.ac.in
National Law School of India,"Akhila Gangadhar Basalalli Assistant, Aniket Nandan Assistant Professor, Anwesha Ghosh Assistant Professor, Aparna Chandra Associate Professor, Mrinal Satish Professor of, Professional and Continuing Education, Sudhir Krishnaswamy Vice Chancellor, essional And Continuing Education, essional and Continuing Education, essor of Law, essor of Law NLSIU","admissions.ba@nls.ac.in, admissions.pace@nls.ac.in, admissions@nls.ac.in, akhila.basalalli@nls.ac.in, aniket.nandan@nls.ac.in, anupama.sharma@nls.ac.in, anwesha@nls.ac.in, aparnachandra@nls.ac.in, contactus@nls.ac.in, donate@nls.ac.in, fle@nls.ac.in, garima.gupta@nls.ac.in, geetanjali.sharma@nls.ac.in, meenakshi.ramkumar@nls.ac.in, mihirnaniwadekar@nls.ac.in, mrinalsatish@nls.ac.in, nlsat.query@nls.ac.in, outreach.ba@nls.ac.in, pace@nls.ac.in, registrar@nls.ac.in, vc@nls.ac.in, vcoffice@nsl.ac.in",https://www.nls.ac.in
St. Joseph's College Bengaluru,"Arul Mani, Charles Lasrado SJ, Charles Lasrado SJ Principal, Christo Selvan, Daniel Fernandes SJ, Melwyn Pinto SJ Pro, Paul Newman, Syed Wajeed, Victor Lobo, Victor Lobo SJ, Victor Lobo SJ Vice, as and later with, ess St Joseph, nominated by the Vice","christoselvan@sjc.ac.in, desk@sjc.ac.in, principal@sjcc.edu.in",https://www.sjcollege.ac.in
Bishop Cotton Women's College,"Amitha Santiago Assistant Professor, Bishop Cotton Women, Esther Prasanakumar Principal, Vinay Kumar, Vinay Kumar Yadav Associate, Vincent Vinod Kumar Bishop, in charge Bishop Cotton","admissions@bcwclc.edu.in, principal@bcwcc.edu.in",https://www.bishopcottonwomenscollege.com
PES University,"Ph No, Prasanna Kumar, Vinay SVice Principal, ess will not be, essor and Head of, oid App FOLLOW US","admissions@pesce.ac.in, deanresearch@pesce.ac.in, hodcse@pestrust.edu.in, office@pessacmandya.ac.in, placement@pesce.ac.in, principal@pesce.ac.in, principal@pescoe.ac.in, principal@pessacmandya.ac.in, registrar@pescoe.ac.in, systemadmin@pescoe.ac.in",https://www.pes.edu
Ramaiah Institute of Technology,"Abby Matthew, Abby Matthew Professor and, Anita Kanavalli, Bharath Srinivasan, Bharath Srinivasan Professor and, Chinmaya Institute of Nursing, Josy Elsa Varghese, Kavitha Prasad, Kavitha Prasad Professor, Krishna Murthy, MS Ramaiah Institute of, Monica Mundada, Raji George, Rakesh Kalshetty, Ramaiah Institute of Technology, Roshni Ramachandran, Sanjay Desai, Sarat Kumar Maharana, Sarat Kumar Maharana Professor, Savita Ravindra, Savita Ravindra Principal and, Shalini Nooyi, Shalini Nooyi Principal and, Soma Chaki, Soma Chaki Professor and, Sonali Jadhav Tarachand, Sonali Jadhav Tarachand Principal, ess Jnana Sangama, ess of the Institution, essional Development Dr Sanjay",admissions@msruas.ac.in,https://www.msrit.edu
Dayananda Sagar College,"Emeritus Dr, Ramnarayan BK MDS Associate, Savita AM MDS Associate, eams At DSI DSI, ess is being protected, the Dept","asso-dean-admin@dscds.edu.in, asso-dean-pg@dscds.edu.in, asso-dean-research@dscds.edu.in, asso-dean-ug@dscds.edu.in, avinashj@dscds.edu.in, culturals@dscds.edu.in, info-arc@dsca.edu.in, principal@dscds.edu.in",https://www.dayanandasagar.edu
New Horizon College of Engineering,"Anitha Rai, Gurucharan Singh, Mohan Manghnani, Sanjeev Sharma, Shanmukha Nagaraj, Subir Kumar Banerjee who, ate of Technical Education, en from pre, ess New Horizon Institute, essionals in the contemporary, iven Engineering degree programs","admin@nhitm.ac.in, admission@nhitm.ac.in, alumni@nhitm.ac.in, examination@nhitm.ac.in, placement@nhitm.ac.in, studentsection@nhitm.ac.in",https://www.newhorizonindia.edu
REVA University,"Dr Sunil Shukla, Ganesh Sridhar Hedge, Jayadev Pattar, Next Wealth Entrepreneurs, Prakash Babu, Shinu Abhi, for both the PUCs, the IP Cell","admissions@reva.edu.in, arshiya.ambreen@reva.edu.in, ashith.vk@reva.edu.in, burri.ankaiah@reva.edu.in, coe@reva.edu.in, ganesh.hegde@reva.edu.in, info@reva.edu.in, jayadevpattar@reva.edu.in, madeshkumar@reva.edu.in, malathi.r@reva.edu.in, munirathnam.k@reva.edu.in, neelakanta.hs@reva.edu.in, placement@reva.edu.in, prakashbabu.d@reva.edu.in, ranjith.k@reva.edu.in, registrar@reva.edu.in, sunitha.dv@reva.edu.in, sushan.bairyk@reva.edu.in, vc@reva.edu.in",https://www.reva.edu.in
Alliance University,"Premanand Shetty Chancellor Alliance, Premanand Shetty Phone, Premanand Shetty comes with, Shetty has worked in, Shetty is","admissions@alliance.edu.in, alumni@alliance.edu.in, chancellor@alliance.edu.in, edu.verify@alliance.edu.in, enquiry@alliance.edu.in, gopalakrishnan.tm@alliance.edu.in, hrd@alliance.edu.in, international@alliance.edu.in, placement@alliance.edu.in, prochancellor@alliance.edu.in, raji.thomas@alliance.edu.in, registrar@alliance.edu.in, surekha.shetty@alliance.edu.in, vc@alliance.edu.in",https://www.alliance.edu.in
Govt. Science College Hassan,"ATE OF DISTANCE EDUCATION, Alka PRINCIPAL, Anil Kumar PRINCIPAL, INSTITUTE OF PSYCHOLOGICAL RESEARCH, MONNAWAR JAHAN, Nagendra Prasad Verma, RAJKISHORE PRASAD, Rakhi Kumari, SISTER MARIA RASHMI, Suheli Mehta, VANIJYA MAHAVIDYALAYA, Yogendra Kumar Verma, ess relevant local and, on IT Sloution All","director-dde@patnauniversity.ac.in, director-iprs@patnauniversity.ac.in, principalbnc@patnauniversity.ac.in, principalcac@patnauniversity.ac.in, principalmmc@patnauniversity.ac.in, principalpc@patnauniversity.ac.in, principalplc@patnauniversity.ac.in, principalpsc@patnauniversity.ac.in, principalptc@patnauniversity.ac.in, principalpwc@patnauniversity.ac.in, principalvm@patnauniversity.ac.in, principalwtc@patnauniversity.ac.in",nan
Visvesvaraya Technological Univ,"Investigator of the DST, Karisiddappa Vice Chancellor, ess Year of Est","dean@sjbsap.edu.in, fo@vtu.ac.in, principal@sit.ac.in, re@vtu.ac.in, registrar@vtu.ac.in, vc@vtu.ac.in",https://www.vtu.ac.in
KLE Technological University,"APJ Abdul Kalam to, Ashok Shettar Pro Chancellor, Ashok Shettar Vice, Ashok Shettar is regarded, Kolhapur Institute of Technology, Prabhakar Kore, Prakash Tewari Email, Prakashgoud Patil, Sanjay Ghodawat Institute Jan, Sanjay Ghodawat Institute May, Shivanand PP, Syed Shakeeb Ur Rahman, Tewari earned his Ph, Veeresh Angadi, Venkatesh Raikar is the, essal Form Leave management, essor and Head","prochancellor@kletech.ac.in, vc@kletech.ac.in",https://www.kletech.ac.in
SDM College of Engineering,"Anand Vaidya, Anand Vaidya is an, Keshava Joshi, Niranjan Kumar, Sunil Joshi, Sunil Joshi is an, ess for Communication with, of this esteemed institution",principal@sdmcet.ac.in,https://www.sdmcet.ac.in
BVB College of Engineering,"Anami received the State, Anil DesaiCECE, Ashok Shettar, Ashok Shettar Vice, Maya Nayak, Payal Mago, Rajeev Singh, Ramkisan Pawar, Samidurai Kandasami, Sanjay Agal, Shettar earned his Doctorate, Shettar has an extensive, Shettar served as the, Shettar was the first, Tewari earned his Ph, Vilin Parekh, Yesu Babu Adimulam, email proposal to mahabalesh, ess Vidyanagar Hubli, ess principal, ess www, essional Summary CA, essional growth, essional with, he said to speak, need to send info, need to send information, send proposal tcegadag","bvrit@bvrit.ac.in, director@bbdit.edu.in, pooja_k@kletech.ac.in, principal@oec.ac.in, vc@kletech.ac.in, webmaster@pilani.bits-pilani.ac.in",https://www.bvbcet.ac.in
JSS College of Arts,"AvinashTambarsi Professoer, Chethan Kumar, ESS JSS Banashankari Arts, ESS Principal JSS Shri, Shobha Asst, Special Invitees Sri, anath Professor of Linguistics, ess and Phone Number, essionals into academic institutions, essor DOS in Folklore, essor of English, essor of English JSS, essor of Practice, essor of practice, iven environment and culture",,https://www.jsscollegemysore.ac.in
Maharaja College Mysore,"Karnataka State Audit and, essor Dept, essor Dr, essor Remarks as Associate, of Maharaja",info@mahajana.edu.in,https://www.maharajacollegemysore.ac.in
Yuvaraja College Mysore,"Bhat Satish Shankar Statistics, Devaraju Chemistry, Rubi Selstina, ashekar Chemistry, essal Portal Prevention of, iles Placements Hostel Facilities","ajaykumar@ycm.uni-mysore.ac.in, principal@ycm.uni-mysore.ac.in",nan
Mangalore University College,"Duggappa Kajekar, Ganapathi Gowda, Ganesh Sanjeev, Gerald Santhosh, Giridhar Rao, Microtron Centre, Monika Sadananda, Prashantha Naik, Sheshappa Amin, Shridhar Gowda, Soukath Azim, Vasudeva Kamath, Virendra Kumar, of Computer Centre, of Internal Quality Assurance, of International Students Centre, of Physical Education, of Planning, of Prasaranga, of Students Welfare",principal_niths@nitte.edu.in,https://www.mangaloreuniversity.ac.in
St. Aloysius College Mangalore,"Sandhya Panicker Dr, Swathi Bhat, Zeena DSouza, ess is, essional Development, ile of your interests, iving Innovation in Digital","joyandsouza@staloysius.edu.in, lmssupport@staloysius.edu.in, nandini_commerce@staloysius.edu.in, principal@sadc.edu.in, principal@staloysius.edu.in, ravi_shetty@staloysius.edu.in, ruban@staloysius.ac.in, zeena_flavia@staloysius.edu.in",https://www.staloysius.edu.in
Canara College,"Planning Body of the, SRM INSTITUTE OF SCIENCE, Subhashini Srivatsa, essional Science and Management, essional with Coaching for, oli pickup points students","info@canara.ac.in, karthik@jnnce.ac.in",https://www.canaracollege.ac.in
Govt. First Grade College Tumkur,"MR Doreswamy, Manuel Tauro, Nirmal Kumar Sancheti, Sree Sree Shivakumara Swamigalu, ess for communication, essionals who challenge the",bentoor@kishkindauniversity.edu.in,nan
Siddaganga Institute of Technology,"Kavya Ramesh Principal Phone, Mahabaleshwar Associate Professor BEC, Puneeth Kumar, Siddaganga Institute of Technology, Somashekar Bhat Professor Dept, Sree Sree Sivakumara Swamiji, ashekar Assistant Professor Dept, essor Dept of ETE, essor UVCE Bangalore, ika Associate Professor Dept","_bc@sit.ac.in, hmchandrashekar@sit.ac.in, kcnmurthy@sit.ac.in, principal@sit.ac.in, punithkumar@sit.ac.in, tnchandrika@sit.ac.in, vishwanath@sit.ac.in",https://www.sit.ac.in
NMKRV College for Women,"Femila Pangat Assistant Professor, Parinitha Mahishi Assistant Professor, Prashanth Joshi Assistant Professor, Rafic Taj, Shankaravva Babanagare, Sharangouda Patil Assistant Professor, Suma Sanjeev, ashekar Raju Mr, essor Botany, essor Chemistry, essor Economics, essor Education, essor English, essor Hindi, essor History, essor Kannada, essor Mathematics, essor Physics, essor Political Science, essor Sanskrit, essor Sociology, essor Zoology","admissions.nmkrvpu@rvei.edu.in, info.nmkrvpu@rvei.edu.in, principal.nmkrv@rvei.edu.in",https://www.nmkrv.ac.in
Seshadripuram College,"Manmohan Singh Bengaluru City, ipuram Research Foundation","department.mca@spmcollege.ac.in, info@pg.spmcollege.ac.in, info@sdcmysore.ac.in, info@sfgc.ac.in, info@spmcollege.ac.in",https://www.seshadripuram.edu.in
CMR Institute of Technology,"AI Services, CMR Institute of Technology, CMRIT CONVENER Prof, CMRIT Dr, Nitya Mrs, Ponraj Sankar, ess for Communication","admission@cmrit.ac.in, admissions.ims@cmr.ac.in, admissions@cmr.edu.in, info@cmr.ac.in, info@cmr.edu.in, principal.ls@cmr.ac.in",https://www.cmrit.ac.in
