name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone,icp_score,icp_tier
Pachaiyappa'S College,Tamil Nadu,Chennai,Aided,,4600,Large,pachaiyappascollege.org,Dr. Baby Gulnaz,pachaiyappas@gmail.com,044-26412844,75,Tier1
Government Arts College Chennai,Tamil Nadu,Chennai,Govt,,3200,Large,gac.ac.in,Dr. D. THANGARAJAN,gacmchennai35@gmail.com,044-24351048,75,Tier1
Queen Mary'S College,Tamil Nadu,Chennai,Govt,,2800,Large,qmc.ac.in,Dr. B. Uma Maheswari,principal@queenmaryscollege.edu.in,044-28444995,75,Tier1
Lady Doak College,Tamil Nadu,Madurai,Aided,,3100,Large,ladydoakcollege.edu.in,Dr. Beulah Jeyashree,principal@ldc.edu.in,0452-2530527,75,Tier1
American College Madurai,Tamil Nadu,Madurai,Aided,,4200,Large,americancollege.edu.in,Dr. J. Paul Jayakar,office@americancollege.edu.in,0452-2530070,75,Tier1
Madurai Kamaraj University College,Tamil Nadu,Madurai,Govt,,3600,Large,mkuniversity.ac.in,Dr.B GEORGE,mkucollege@gmail.com,0452-2544211,75,Tier1
Thiagarajar College,Tamil Nadu,Madurai,Aided,,3400,Large,tcarts.ac.in,Dr. L. Ashok Kumar,ao@tcarts.in,0452-2442621,75,Tier1
Sri Krishna College Of Engineering,Tamil Nadu,Coimbatore,Private,,3800,Large,skcet.ac.in,Dr. K. Porkumaran,principal@skcet.ac.in,0422-2678001,100,Tier1
Kumaraguru College Of Technology,Tamil Nadu,Coimbatore,Private,,4100,Large,kct.ac.in,Dr. M. Ezhilarasi,info@kct.ac.in,0422-2661100,100,Tier1
Kongu Engineering College,Tamil Nadu,Erode,Aided,,3600,Large,kongu.edu,Dr.V.Balusamy,principal@kongu.ac.in,04294-226555,75,Tier1
Salem College,Tamil Nadu,Salem,Govt,,2400,Large,salemcollege.ac.in,Dr. V. Geetha,gacsalem7@gmail.com,0427-2413271,75,Tier1
Periyar University College,Tamil Nadu,Salem,Govt,,2100,Large,periyaruniversity.ac.in,Dr.P.Karthikeyan,pucas@periyaruniversity.ac.in,0427-2345766,75,Tier1
Bishop Heber College,Tamil Nadu,Tiruchirappalli,Aided,,3200,Large,bishophebercollegetry.ac.in,Dr.Princy Merlin J,principal@bhc.edu.in,0431-2770136,75,Tier1
National College Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Aided,,2800,Large,nationalcollegetrichy.ac.in,Dr. Kumar K,principal@nct.ac.in,0431-2482995,75,Tier1
Bharathidasan University College,Tamil Nadu,Tiruchirappalli,Govt,,2600,Large,bdu.ac.in,Dr. K. Manoharan,pucas@bdu.ac.in,0431-2407072,75,Tier1
Jamal Mohamed College,Tamil Nadu,Tiruchirappalli,Aided,,3100,Large,jmc.edu.in,Dr. D.I. George Amalarethinam,princi@jmc.edu,0431-2331135,75,Tier1
Holy Cross College,Tamil Nadu,Tiruchirappalli,Aided,,2900,Large,holycrosstry.edu.in,Dr. Sr. Isabella Rajakumari,office@hcctrichy.ac.in,0431-2700637,75,Tier1
Sathyabama Institute Of Science,Tamil Nadu,Chennai,Private,,6800,Large,sathyabama.ac.in,Dr. MARIAZEENA JOHNSON,registrar@sathyabama.ac.in,044-24503150,100,Tier1
Saveetha Engineering College,Tamil Nadu,Chennai,Private,,4200,Large,saveetha.ac.in,Dr. V. Vijaya Chamundeeswari,admission@saveetha.ac.in,044-66726677,100,Tier1
Sri Sairam Engineering College,Tamil Nadu,Chennai,Private,,3800,Large,sairam.edu.in,Dr. J. Raja,sairam@sairam.edu.in,044-22512222,100,Tier1
Vel Tech University,Tamil Nadu,Chennai,Private,,3200,Large,veltech.edu.in,Prof. Dr. Rajat Gupta,registrar@veltech.edu.in,044-26841601,100,Tier1
Ssn College Of Engineering,Tamil Nadu,Chennai,Private,,4400,Large,ssn.edu.in,Dr. S. Radha,info@ssn.edu.in,044-27469700,100,Tier1
Ethiraj College For Women,Tamil Nadu,Chennai,Aided,,2800,Large,ethirajcollege.edu.in,S. Uma Gowrie,principal@ethirajcollege.edu.in,044-28279189,75,Tier1
Dr. Ambedkar Govt. Arts College,Tamil Nadu,Chennai,Govt,,2400,Large,ambedkararts.ac.in,Dr. K. SIVAKUMARI,office@dagac.edu.in,044-25520151,75,Tier1
Govt. Arts College Nandanam,Tamil Nadu,Chennai,Govt,,2200,Large,,Dr. D. Thangarajan,gacmchennai35@gmail.com,044-24351048,65,Tier2
Rajalakshmi Engineering College,Tamil Nadu,Chennai,Private,,3600,Large,rajalakshmi.org,Dr. S.N. Murugesan,admin@rajalakshmi.edu.in,044-67181111,100,Tier1
Govt. Arts College Coimbatore,Tamil Nadu,Coimbatore,Govt,,2600,Large,,Dr. M.R. Yezhili,govtartscoimbatore18@gmail.com,0422-2221251,65,Tier2
